City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
302,cartagena,10.3997,-75.5144,24.79,100,40,1.03,CO,1698548325
303,port antonio,18.18,-76.4612,27.95,80,2,0.33,JM,1698548325
304,yeoju,37.2958,127.6339,17.7,56,0,0.98,KR,1698548325
305,shenjiamen,29.9576,122.298,21.63,56,39,4.01,CN,1698548325
306,burela de cabo,43.65,-7.4,13.88,77,28,9.31,ES,1698548325
307,kuqa,41.7278,82.9364,14.4,30,98,0.68,CN,1698548325
308,contamana,-7.3333,-75.0167,26.11,75,94,0.66,PE,1698548325
309,karratha,-20.7377,116.8463,35.59,25,79,1.87,AU,1698548325
310,charters towers,-20.1,146.2667,30.9,24,5,3.62,AU,1698548325
311,lorengau,-2.0226,147.2712,28.07,83,69,5.43,PG,1698548326
312,petropavlovsk-kamchatsky,53.0452,158.6483,6.33,59,0,1.34,RU,1698548326
313,alaghsas,17.0187,8.0168,24.95,14,86,4.92,NE,1698548326
314,hasaki,35.7333,140.8333,19.05,59,68,9.14,JP,1698548326
315,khonsa,27.0167,95.5667,22.31,62,3,1.47,IN,1698548326
316,sao lourenco,-22.1164,-45.0544,19.57,94,98,1.14,BR,1698548326
317,kristiansund,63.1115,7.732,-0.64,74,2,2.06,NO,1698548326
318,saipan,15.1355,145.701,31.39,74,40,6.17,MP,1698548326
319,la toma,-33.0526,-65.6238,21.97,47,0,11.74,AR,1698548326
320,cedeira,43.6797,-8.0209,13.54,76,93,12.94,ES,1698548326
321,lompoc,34.6391,-120.4579,13.85,84,0,10.28,US,1698548065
322,nizhneudinsk,54.9076,99.0276,-2.14,39,100,2.25,RU,1698548326
323,turbat,26.0023,63.044,26.21,55,0,0.93,PK,1698548326
324,douz,33.4663,9.0203,22.27,43,100,3.49,TN,1698548326
325,conception bay south,47.4999,-52.9981,13.74,90,83,7.85,CA,1698548326
326,prince rupert,54.3161,-130.3201,6.83,79,0,3.09,CA,1698548110
327,wuchang,44.9143,127.15,13.41,25,40,3.4,CN,1698548327
328,kayangel,8.0823,134.7173,27.06,75,99,0.13,PW,1698548327
329,howard springs,-12.497,131.047,34.37,58,54,2.2,AU,1698548327
330,dorgeli,42.667,47.2944,15.61,49,45,1.48,RU,1698548327
331,keflavik,64.0049,-22.5624,2.24,75,0,2.06,IS,1698548327
332,vuktyl,63.8567,57.3094,-10.5,95,42,0.89,RU,1698548327
333,brandon,27.9378,-82.2859,24.92,84,0,2.57,US,1698548303
334,sabzevar,36.2126,57.6819,18.3,37,2,2.39,IR,1698548327
335,taltal,-25.4,-70.4833,15.9,80,17,1.21,CL,1698548327
336,campobasso,41.6333,14.5833,14.67,91,1,2.39,IT,1698548087
337,vilyuchinsk,52.9306,158.4028,7.15,63,100,0.65,RU,1698548327
338,dzhankoy,45.7167,34.4,12.88,73,10,0.83,UA,1698548327
339,fisterra,42.9049,-9.2629,14.86,60,69,11.76,ES,1698548194
340,mariehamn,60.0973,19.9348,2.12,100,20,0.51,AX,1698548327
341,charlotte,35.2271,-80.8431,20.98,79,20,3.09,US,1698548247
342,hammerfest,70.6634,23.6821,-2.75,80,60,1.54,NO,1698548327
343,ilhabela,-23.7781,-45.3581,24.08,91,100,1.68,BR,1698548327
344,newport,51.5877,-2.9984,11.3,87,92,8.17,GB,1698548328
345,sumbawa besar,-8.5,117.4333,35.99,33,5,4.1,ID,1698548328
346,ende,-8.8432,121.6623,31.93,51,60,2.89,ID,1698548328
347,bolszewo,54.618,18.1759,8.21,87,100,0.89,PL,1698548328
348,pangody,65.85,74.4859,-10.01,96,96,1.9,RU,1698548328
349,fort mcmurray,56.7268,-111.381,-1.23,80,100,5.14,CA,1698548283
350,pyin oo lwin,22.0333,96.4667,22.11,76,25,0.96,MM,1698548328
351,san lorenzo,-25.3333,-57.5333,20.52,94,0,4.02,PY,1698548328
352,walvis bay,-22.9575,14.5053,12.53,94,41,7.2,NA,1698548207
353,tanjung pandan,-2.75,107.65,32.04,50,18,3.46,ID,1698548328
354,lalpur,22.2,69.9667,27.48,51,0,1.49,IN,1698548328
355,mahibadhoo,3.7833,72.9667,28.06,74,47,4.92,MV,1698548328
356,chernyshevskiy,63.0128,112.4714,-8.47,88,96,3.81,RU,1698548328
357,ust'-ilimsk,58.0006,102.6619,-3.64,56,99,5.36,RU,1698548328
358,uzgen,40.7699,73.3007,11.16,43,100,3.04,KG,1698548328
359,pointe-noire,-4.7761,11.8635,25.8,88,57,3.14,CG,1698548199
360,grants,35.1473,-107.8514,13.13,33,0,3.6,US,1698548329
361,wakkanai,45.4094,141.6739,8.99,75,40,4.12,JP,1698548329
